DateID,SupplierID,LeadTimeDays,DefectRatePercent,OnTimeDeliveryPercent,PurchaseOrderFulfillmentPercent
20231010,11,13,2.5,90.25,92.63
20231010,12,8,1.9,96.51,93.59
20231010,13,10,4.72,94.03,91.4
20231010,14,19,1.17,97.36,98.11
20231010,15,6,2.27,93.7,96.14
20231011,1,14,1.44,93.91,90.87
20231011,2,16,0.02,95.6,97.93
20231011,3,13,0.64,92.81,93.89
20231011,4,17,4.23,91.09,96.51
20231011,5,10,3.15,95.95,90.02
20231011,6,16,0.03,92.89,99.19
20231011,7,15,3.14,90.28,97.88
20231011,8,10,1.36,91.53,92.25
20231011,9,18,2.16,98.32,90.66
20231011,10,12,1.53,94.5,96.09
20231011,11,6,0.41,93.12,97.03
20231011,12,12,4.64,90.4,95.64
20231011,13,17,2.43,92.74,93.7
20231011,14,14,0.34,97.02,99.3
20231011,15,9,2.17,97.33,95.91
20231012,1,19,1.32,91.06,94.72
20231012,2,6,0.99,91.06,90.83
20231012,3,5,1.13,95.45,94.13
20231012,4,8,0.57,95.79,97.22
20231012,5,11,3.29,95.88,95.39
20231012,6,8,3.14,98.51,94.23
20231012,7,16,2.73,94.28,99.4
20231012,8,16,4.12,96.97,93.86
20231012,9,12,2.78,99.19,96.85
20231012,10,9,1.66,94.95,96.07
20231012,11,9,0.72,98.53,98.59
20231012,12,17,3.21,99.47,96.55
20231012,13,16,3.6,98.95,91.02
20231012,14,12,0.49,93.17,93.76
20231012,15,12,3.52,98.8,92.19
20231013,1,18,2.96,90.64,90.2
20231013,2,18,0.79,93.65,93.58
20231013,3,5,3.97,92.15,93.47
20231013,4,6,2.28,95.56,98.39
20231013,5,16,2.96,90.03,99.33
20231013,6,12,1.14,94.14,99.65
20231013,7,8,1.84,93.98,97.02
20231013,8,19,2.68,99.07,98.77
20231013,9,5,3.73,95.66,97.03
20231013,10,10,1.38,92.58,99.29
20231013,11,5,0.12,92.56,91.4
20231013,12,11,3.84,91.87,96.8
20231013,13,14,4.13,90.93,92.95
20231013,14,8,3.26,93.07,99.37
20231013,15,17,0.19,91.58,96.41
20231014,1,10,0.8,91.98,94.09
20231014,2,7,0.4,93.96,95.89
20231014,3,8,4.8,90.51,90.66
20231014,4,5,1.45,94.03,98.44
20231014,5,7,4.36,97.93,91.02
20231014,6,11,4.34,95.72,96.97
20231014,7,16,4.75,91.98,97.99
20231014,8,8,1.13,94.08,95.1
20231014,9,9,3.49,96.6,99.17
20231014,10,12,3.91,91.65,94.15
20231014,11,14,1.89,94.34,99.45
20231014,12,8,4.62,99.47,90.02
20231014,13,10,1.35,90.58,96.21
20231014,14,9,0.88,96.02,98.46
20231014,15,11,3.83,99.73,95.81
20231015,1,15,0.77,99.32,99.14
20231015,2,5,3.5,91.17,99.17
20231015,3,6,4.71,95.21,99.63
20231015,4,15,0.61,97.0,90.81
20231015,5,18,4.35,98.67,91.5
20231015,6,11,1.05,91.85,99.07
20231015,7,12,2.81,95.93,98.19
20231015,8,18,3.15,91.12,95.99
20231015,9,6,1.23,92.17,91.67
20231015,10,9,4.2,90.97,94.1
20231015,11,15,1.25,92.5,97.32
20231015,12,12,0.12,90.96,96.0
20231015,13,17,1.92,93.29,97.17
20231015,14,8,1.1,96.58,96.41
20231015,15,8,1.19,96.53,94.84
20231016,1,6,1.25,95.11,94.29
20231016,2,19,2.7,93.36,97.11
20231016,3,7,3.14,95.12,95.92
20231016,4,8,2.87,99.34,98.86
20231016,5,12,3.01,93.65,98.52
20231016,6,5,4.74,98.97,98.66
20231016,7,19,1.75,90.3,92.63
20231016,8,16,4.28,99.01,94.37
20231016,9,9,2.87,90.28,93.33
20231016,10,19,4.21,97.29,91.62
20231016,11,6,1.76,90.72,94.27
20231016,12,18,2.22,97.04,94.88
20231016,13,11,1.31,91.44,99.98
20231016,14,16,3.9,95.9,96.09
20231016,15,6,2.61,95.77,98.91
20231017,1,16,3.03,98.54,90.08
20231017,2,18,3.33,91.64,94.27
20231017,3,6,1.72,97.7,99.68
20231017,4,7,4.57,96.36,94.25
20231017,5,15,0.84,94.12,94.97
20231017,6,12,0.73,94.05,92.04
20231017,7,11,4.15,96.46,98.04
20231017,8,10,2.56,98.14,99.0
20231017,9,13,2.86,95.98,90.49
20231017,10,14,3.72,94.62,93.91
20231017,11,17,0.3,92.56,92.89
20231017,12,7,3.34,91.85,93.52
20231017,13,5,2.36,95.5,98.61
20231017,14,7,0.29,94.47,92.86
20231017,15,13,2.5,97.66,90.04
20231018,1,12,2.1,91.45,95.59
20231018,2,12,3.06,96.63,98.15
20231018,3,13,3.52,93.84,95.41
20231018,4,12,1.72,91.13,97.54
20231018,5,10,4.59,91.53,93.04
20231018,6,13,4.82,97.51,94.82
20231018,7,6,2.2,99.28,97.06
20231018,8,14,0.96,97.14,98.34
20231018,9,5,2.85,98.5,97.34
20231018,10,16,1.52,98.85,97.17
20231018,11,11,3.89,95.46,97.43
20231018,12,19,4.59,93.29,92.12
20231018,13,16,1.64,96.18,98.68
20231018,14,18,3.18,92.02,95.1
20231018,15,9,3.8,99.67,92.0
20231019,1,17,1.34,93.21,97.5
20231019,2,11,2.56,94.46,99.96
20231019,3,16,4.6,90.54,99.34
20231019,4,12,4.0,90.86,99.99
20231019,5,7,2.07,95.01,98.93
20231019,6,19,0.98,94.3,91.45
20231019,7,13,4.38,97.93,93.62
20231019,8,10,0.07,99.33,95.23
20231019,9,5,1.41,98.3,92.18
20231019,10,19,2.7,93.59,99.99
20231019,11,18,1.75,97.73,99.79
20231019,12,7,4.57,93.04,97.64
20231019,13,12,3.42,96.48,90.49
20231019,14,7,1.83,96.85,95.37
20231019,15,7,3.73,91.21,93.94
20231020,1,15,0.58,97.32,94.3
20231020,2,8,1.65,98.51,93.13
20231020,3,14,1.07,92.75,95.5
20231020,4,12,3.43,92.11,96.3
20231020,5,19,3.75,90.62,94.52
20231020,6,19,2.63,93.18,92.14
20231020,7,7,2.24,93.47,97.94
20231020,8,10,2.13,96.56,94.23
20231020,9,5,3.31,99.46,99.19
20231020,10,13,0.58,91.78,99.76
20231020,11,14,0.17,93.0,95.37
20231020,12,14,2.65,95.16,98.8
20231020,13,18,4.02,95.73,91.51
20231020,14,13,3.92,98.03,92.27
20231020,15,14,2.24,95.17,95.05
20231021,1,16,2.0,93.21,90.94
20231021,2,9,4.34,90.29,93.94
20231021,3,7,2.15,98.87,98.11
20231021,4,12,3.1,92.3,90.56
20231021,5,8,3.71,93.85,96.13
20231021,6,8,0.58,97.31,94.27
20231021,7,10,4.19,91.56,99.91
20231021,8,9,2.01,96.55,94.37
20231021,9,12,2.11,92.11,92.14
20231021,10,5,1.44,90.32,96.72
20231021,11,9,0.86,93.12,98.57
20231021,12,11,0.53,98.46,95.92
20231021,13,18,1.93,92.65,93.77
20231021,14,15,4.89,98.51,93.18
20231021,15,11,0.28,95.0,96.99
20231022,1,13,4.31,92.71,94.13
20231022,2,16,2.6,95.37,99.92
20231022,3,18,0.82,90.43,96.64
20231022,4,10,1.8,97.95,91.37
20231022,5,17,2.4,94.73,95.1
20231022,6,11,4.68,95.01,94.76
20231022,7,14,1.54,95.4,96.06
20231022,8,19,4.34,95.76,96.56
20231022,9,15,0.48,95.89,92.58
20231022,10,13,1.54,93.8,97.5
20231022,11,11,3.45,97.74,94.86
20231022,12,8,0.93,93.15,92.97
20231022,13,6,2.91,90.23,92.99
20231022,14,14,4.5,92.39,90.15
20231022,15,13,1.46,98.99,91.47
20231023,1,12,0.5,90.5,97.91
20231023,2,12,2.74,92.35,99.17
20231023,3,9,3.16,96.84,94.76
20231023,4,6,2.98,99.25,90.49
20231023,5,9,0.45,98.17,90.11
20231023,6,16,0.1,98.23,98.72
20231023,7,12,3.63,93.2,96.52
20231023,8,10,3.14,90.77,90.19
20231023,9,12,4.99,94.7,91.52
20231023,10,6,2.0,96.69,90.1
20231023,11,10,3.41,96.89,91.73
20231023,12,10,1.83,97.94,91.18
20231023,13,17,4.44,92.57,90.63
20231023,14,12,2.55,96.61,94.88
20231023,15,5,4.87,99.35,96.55
20231024,1,5,4.36,90.04,98.05
20231024,2,16,2.88,96.82,90.03
20231024,3,15,0.84,90.3,97.77
20231024,4,6,0.31,98.4,90.96
20231024,5,17,2.0,92.59,90.94
20231024,6,15,3.5,93.9,93.88
20231024,7,14,2.53,95.72,92.52
20231024,8,5,0.68,97.29,91.51
20231024,9,7,0.05,99.62,93.17
20231024,10,13,3.0,96.86,92.47
20231024,11,5,4.13,95.96,98.84
20231024,12,12,1.78,93.42,91.39
20231024,13,17,4.49,90.89,98.08
20231024,14,15,1.16,97.0,93.4
20231024,15,12,4.73,99.36,91.96
20231025,1,12,4.66,92.16,98.29
20231025,2,15,0.06,99.8,99.84
20231025,3,19,1.51,90.08,95.06
20231025,4,8,2.36,91.23,93.65
20231025,5,19,4.49,90.05,91.61
20231025,6,10,3.4,91.82,93.6
20231025,7,10,3.93,96.97,97.14
20231025,8,7,2.33,93.35,91.6
20231025,9,5,3.37,90.73,93.17
20231025,10,16,2.71,91.04,90.43
20231025,11,14,4.36,97.32,93.67
20231025,12,7,2.28,91.09,90.12
20231025,13,6,2.24,93.67,97.27
20231025,14,11,0.03,97.4,96.33
20231025,15,5,1.99,91.96,92.12
20231026,1,12,2.63,95.58,95.79
20231026,2,11,2.35,98.0,96.78
20231026,3,12,1.53,94.56,91.49
20231026,4,18,4.13,91.53,93.88
20231026,5,12,2.43,90.66,98.6
20231026,6,15,0.15,93.69,93.25
20231026,7,16,4.1,95.55,98.29
20231026,8,16,1.42,90.25,95.74
20231026,9,18,2.06,93.82,99.06
20231026,10,10,3.05,97.52,98.67
20231026,11,13,1.21,97.15,98.35
20231026,12,11,3.32,95.68,93.28
20231026,13,17,4.11,97.29,93.87
20231026,14,10,0.01,94.73,92.42
20231026,15,11,2.27,92.48,97.41
20231027,1,8,2.31,99.92,92.77
20231027,2,9,4.07,93.92,94.77
20231027,3,19,4.28,95.13,98.08
20231027,4,11,4.2,91.44,91.28
20231027,5,16,0.23,91.4,99.33
20231027,6,13,1.05,93.39,93.03
20231027,7,7,3.91,93.72,96.64
20231027,8,9,1.34,90.78,95.81
20231027,9,18,3.48,97.33,98.49
20231027,10,6,4.5,95.15,93.55
20231027,11,7,3.26,90.47,98.49
20231027,12,14,4.14,93.24,92.77
20231027,13,5,1.32,93.51,98.47
20231027,14,16,3.53,98.26,92.52
20231027,15,7,2.93,94.56,96.42
20231028,1,16,0.95,96.16,93.85
20231028,2,10,4.45,99.48,90.27
20231028,3,10,0.27,97.42,96.14
20231028,4,14,1.32,94.7,94.47
20231028,5,15,4.67,95.25,95.69
20231028,6,16,2.02,94.17,98.95
20231028,7,6,1.98,90.29,93.69
20231028,8,9,3.61,92.18,90.7
20231028,9,6,0.83,91.27,91.79
20231028,10,8,4.91,92.04,99.34
20231028,11,5,3.39,96.45,93.27
20231028,12,9,4.48,95.43,94.56
20231028,13,11,0.91,90.37,94.92
20231028,14,12,1.85,95.18,93.16
20231028,15,10,0.67,92.8,90.72
20231029,1,16,0.61,90.22,95.86
20231029,2,17,0.85,93.61,99.78
20231029,3,8,3.78,99.06,95.74
20231029,4,13,2.08,94.21,99.69
20231029,5,7,0.11,94.23,98.8
20231029,6,17,3.57,96.6,90.16
20231029,7,10,0.59,98.86,90.33
20231029,8,19,2.12,96.16,98.63
20231029,9,10,3.74,95.18,90.48
20231029,10,7,2.22,93.78,90.39
20231029,11,19,4.27,95.82,90.65
20231029,12,18,1.42,95.17,95.95
20231029,13,8,4.97,93.39,91.11
20231029,14,18,1.71,90.46,99.36
20231029,15,15,4.9,94.25,99.89
20231030,1,9,2.73,94.87,92.14
20231030,2,12,3.46,90.59,92.2
20231030,3,19,1.74,93.87,94.88
20231030,4,11,0.19,91.52,92.69
20231030,5,19,1.4,96.24,97.11
20231030,6,13,0.93,98.02,98.62
20231030,7,10,2.79,98.71,99.68
20231030,8,16,0.31,90.61,95.13
20231030,9,6,2.04,91.25,96.79
20231030,10,18,0.44,95.83,98.22
20231030,11,16,2.02,90.55,97.11
20231030,12,14,2.15,92.26,96.3
20231030,13,19,1.69,92.45,92.11
20231030,14,13,4.43,97.84,99.68
20231030,15,13,3.09,92.37,94.3
20231031,1,8,1.51,92.58,98.41
20231031,2,13,2.37,94.18,93.21
20231031,3,9,0.47,98.86,96.95
20231031,4,15,3.8,93.19,99.89
20231031,5,15,0.34,90.35,95.61
20231031,6,6,2.61,95.44,98.75
20231031,7,13,2.43,99.55,97.7
20231031,8,13,3.63,92.79,94.09
20231031,9,17,1.2,94.67,93.29
20231031,10,11,3.87,93.86,96.29
20231031,11,5,1.21,92.72,96.46
20231031,12,19,0.98,98.13,97.34
20231031,13,7,2.65,98.28,94.42
20231031,14,14,0.98,94.37,97.31
20231031,15,16,4.5,90.37,91.82
20231101,1,5,4.0,96.56,96.39
20231101,2,5,0.81,96.78,97.0
20231101,3,5,1.79,99.75,96.87
20231101,4,15,4.61,92.15,95.99
20231101,5,16,3.28,99.47,93.09
20231101,6,10,4.02,98.83,96.33
20231101,7,6,3.3,90.08,99.63
20231101,8,17,0.33,94.25,99.5
20231101,9,9,3.5,98.84,96.33
20231101,10,19,0.15,94.56,93.08
20231101,11,17,0.03,95.3,92.43
20231101,12,11,4.53,98.18,92.98
20231101,13,13,3.47,91.75,96.49
20231101,14,17,3.96,91.37,90.64
20231101,15,13,2.48,98.83,93.43
20231102,1,11,2.64,92.04,99.7
20231102,2,16,2.15,92.48,96.67
20231102,3,7,3.6,95.98,94.62
20231102,4,5,3.99,95.11,91.02
20231102,5,8,4.35,98.32,95.48
20231102,6,10,1.5,95.71,90.79
20231102,7,7,1.9,92.01,93.03
20231102,8,10,1.96,96.97,99.5
20231102,9,7,0.34,99.23,94.44
20231102,10,18,3.03,94.66,94.98
20231102,11,16,0.13,98.76,97.63
20231102,12,8,1.63,94.24,99.22
20231102,13,15,1.1,99.3,90.7
20231102,14,9,1.09,97.37,92.92
20231102,15,15,1.92,90.47,98.25
20231103,1,8,1.96,98.31,91.88
20231103,2,18,3.36,90.14,97.27
20231103,3,6,1.19,90.73,97.05
20231103,4,9,2.66,94.11,94.12
20231103,5,5,1.98,94.36,99.18
20231103,6,14,1.01,97.89,99.64
20231103,7,17,0.27,91.67,92.26
20231103,8,14,3.03,96.53,99.68
20231103,9,15,2.48,95.33,94.52
20231103,10,14,0.79,93.92,97.7
20231103,11,12,4.8,99.14,97.72
20231103,12,15,2.64,95.63,95.24
20231103,13,16,0.75,92.47,94.26
20231103,14,5,1.51,93.97,94.58
20231103,15,6,3.09,93.8,93.71
20231104,1,16,2.14,93.48,90.98
20231104,2,16,3.7,96.6,92.72
20231104,3,14,1.51,99.02,91.87
20231104,4,7,4.61,92.92,93.1
20231104,5,15,0.85,91.87,91.12
20231104,6,16,0.86,94.68,91.11
20231104,7,6,0.02,98.98,98.64
20231104,8,11,0.32,90.78,93.19
20231104,9,14,2.01,99.29,95.53
20231104,10,19,0.64,90.36,92.22
20231104,11,19,4.29,99.03,99.78
20231104,12,15,2.46,94.02,90.06
20231104,13,7,3.27,90.99,95.88
20231104,14,8,1.24,98.67,99.27
20231104,15,9,3.93,94.42,92.87
20231105,1,17,2.4,97.77,90.46
20231105,2,5,4.12,95.34,94.12
20231105,3,5,4.78,98.0,95.73
20231105,4,12,4.71,95.53,91.66
20231105,5,11,2.75,96.53,98.21
20231105,6,5,4.83,96.1,97.45
20231105,7,19,0.74,97.73,90.92
20231105,8,6,0.98,97.02,92.44
20231105,9,11,4.4,93.32,93.32
20231105,10,9,2.14,99.69,90.28
20231105,11,9,3.64,99.89,96.97
20231105,12,6,3.59,96.1,97.9
20231105,13,16,1.2,93.95,97.19
20231105,14,17,1.65,95.82,99.36
20231105,15,5,0.26,99.69,96.05
20231106,1,10,3.46,90.47,91.04
20231106,2,14,0.2,99.4,92.97
20231106,3,9,2.13,90.89,95.79
20231106,4,5,2.4,95.26,95.2
20231106,5,6,0.73,94.59,97.12
20231106,6,11,4.64,99.55,99.52
20231106,7,7,2.03,92.46,93.85
20231106,8,5,2.68,94.69,91.27
20231106,9,12,2.74,93.7,98.6
20231106,10,5,3.05,99.66,95.87
20231106,11,8,1.72,91.64,93.3
20231106,12,19,3.64,98.12,90.36
20231106,13,6,3.92,90.07,90.85
20231106,14,8,3.96,98.72,99.14
20231106,15,15,3.99,91.58,92.99
20231107,1,8,3.7,92.25,99.42
20231107,2,5,2.21,99.75,96.7
20231107,3,18,1.51,96.94,96.7
20231107,4,18,2.48,90.66,92.4
20231107,5,8,1.24,91.51,94.45
20231107,6,12,1.34,94.51,91.7
20231107,7,12,0.9,94.85,98.23
20231107,8,5,3.83,92.35,98.19
20231107,9,19,0.46,92.22,93.9
20231107,10,19,2.77,94.33,91.48
20231107,11,10,3.68,99.73,96.51
20231107,12,13,0.77,94.48,92.73
20231107,13,9,0.44,96.98,99.52
20231107,14,14,2.01,90.94,92.34
20231107,15,10,2.15,94.68,92.27
20231108,1,19,1.27,96.35,99.72
20231108,2,14,3.34,99.69,94.86
20231108,3,17,1.33,93.12,98.47
20231108,4,14,2.66,92.61,95.78
20231108,5,14,4.47,93.47,96.07
20231108,6,6,2.16,90.34,97.34
20231108,7,8,2.59,92.62,98.42
20231108,8,8,4.56,91.19,99.59
20231108,9,10,3.6,96.04,99.87
20231108,10,8,4.02,95.55,98.74
20231108,11,15,3.71,91.29,90.71
20231108,12,10,1.52,93.61,93.36
20231108,13,5,1.9,91.78,94.77
20231108,14,17,0.84,99.24,95.31
20231108,15,7,3.58,99.25,93.28
20231109,1,10,3.09,99.13,92.17
20231109,2,10,2.91,98.28,96.1
20231109,3,16,0.48,95.11,96.21
20231109,4,13,2.79,96.97,98.16
20231109,5,9,3.15,90.7,92.92
20231109,6,8,0.55,95.12,95.47
20231109,7,12,2.43,98.24,92.06
20231109,8,14,3.78,96.54,91.64
20231109,9,13,4.22,90.98,99.85
20231109,10,19,1.78,92.91,90.95
20231109,11,16,1.67,91.57,90.43
20231109,12,11,3.55,95.66,95.29
20231109,13,7,1.13,92.56,96.76
20231109,14,17,0.02,91.64,95.56
20231109,15,5,3.89,90.86,97.82
20231110,1,13,4.19,93.19,98.76
20231110,2,12,2.64,95.42,96.05
20231110,3,8,4.5,94.96,93.45
20231110,4,15,2.39,96.34,97.5
20231110,5,8,4.88,91.29,96.48
20231110,6,9,1.7,90.8,93.97
20231110,7,14,4.5,90.71,91.71
20231110,8,14,1.97,90.15,93.21
20231110,9,13,3.08,91.16,98.68
20231110,10,7,4.44,98.14,90.71
20231110,11,11,2.57,98.6,99.21
20231110,12,14,0.74,94.37,92.06
20231110,13,15,1.4,97.59,94.5
20231110,14,16,3.03,93.51,99.33
20231110,15,19,4.48,95.49,98.47
20231111,1,11,3.73,95.32,91.44
20231111,2,6,3.55,93.4,98.93
20231111,3,12,0.22,97.81,90.42
20231111,4,12,3.28,93.02,94.31
20231111,5,14,4.48,92.2,99.45
20231111,6,11,2.92,93.7,98.77
20231111,7,7,4.35,99.79,94.3
20231111,8,5,1.43,99.15,98.93
20231111,9,7,2.62,98.09,93.83
20231111,10,18,4.71,93.87,96.44
20231111,11,7,4.16,91.6,96.28
20231111,12,19,0.36,92.59,94.13
20231111,13,12,2.53,96.32,97.82
20231111,14,6,2.4,91.04,97.42
20231111,15,13,2.35,91.72,92.75
20231112,1,17,1.06,98.02,99.45
20231112,2,9,4.84,92.51,90.13
20231112,3,5,1.48,91.69,97.5
20231112,4,14,1.66,94.72,98.81
20231112,5,10,2.92,94.67,96.72
20231112,6,14,0.72,99.58,91.84
20231112,7,11,1.45,93.27,99.62
20231112,8,14,1.93,94.35,95.79
20231112,9,6,0.95,93.7,91.7
20231112,10,8,1.57,97.19,99.78
20231112,11,8,4.31,92.75,98.05
20231112,12,9,3.74,93.77,95.1
20231112,13,13,2.38,92.18,91.47
20231112,14,11,2.75,99.85,90.98
20231112,15,9,4.92,91.66,96.11
20231113,1,11,3.24,99.47,92.28
20231113,2,12,0.72,91.37,99.57
20231113,3,8,1.39,98.6,99.61
20231113,4,8,4.48,91.28,93.01
20231113,5,13,0.29,99.39,99.95
20231113,6,7,4.42,93.75,92.0
20231113,7,14,2.37,99.0,94.45
20231113,8,9,4.77,94.26,90.41
20231113,9,6,2.66,94.69,94.14
20231113,10,11,4.95,93.33,91.72
20231113,11,5,0.6,94.72,93.36
20231113,12,14,3.84,92.11,93.89
20231113,13,13,2.04,93.93,90.53
20231113,14,10,1.2,91.05,98.4
20231113,15,19,0.82,91.44,98.76
20231114,1,5,1.35,95.04,95.26
20231114,2,13,3.15,93.15,90.34
20231114,3,10,2.02,97.52,94.46
20231114,4,15,1.64,90.34,91.26
20231114,5,17,4.15,95.9,90.39
20231114,6,15,4.33,95.62,99.24
20231114,7,5,2.95,97.16,97.58
20231114,8,6,3.49,97.02,96.03
20231114,9,19,0.49,96.22,98.81
20231114,10,8,2.3,96.78,97.57
20231114,11,16,4.93,96.32,96.61
20231114,12,19,4.27,93.73,99.56
20231114,13,19,3.88,98.11,96.79
20231114,14,10,0.22,90.75,99.5
20231114,15,19,2.51,96.67,96.53
20231115,1,11,4.86,94.64,93.18
20231115,2,10,0.51,94.03,93.6
20231115,3,16,0.41,90.93,94.94
20231115,4,9,1.51,90.48,95.99
20231115,5,12,3.36,99.65,97.85
20231115,6,8,2.44,97.28,95.96
20231115,7,19,1.62,90.24,94.9
20231115,8,7,1.02,96.75,93.67
20231115,9,9,1.44,97.07,99.9
20231115,10,10,3.73,90.93,94.66
20231115,11,14,2.45,91.67,94.68
20231115,12,14,2.98,94.46,99.59
20231115,13,9,2.84,96.24,92.65
20231115,14,12,2.46,96.44,96.16
20231115,15,9,3.4,96.5,90.37
20231116,1,5,1.15,91.06,97.08
20231116,2,13,3.56,97.44,93.95
20231116,3,15,2.66,91.86,96.79
20231116,4,14,4.77,92.9,90.09
20231116,5,8,3.63,95.66,91.95
20231116,6,11,1.35,96.69,97.05
20231116,7,6,1.52,91.57,98.62
20231116,8,13,0.77,99.88,90.45
20231116,9,17,4.83,98.34,98.46
20231116,10,18,0.75,98.64,97.4
20231116,11,18,0.49,99.43,93.1
20231116,12,6,2.34,96.82,95.74
20231116,13,11,3.48,99.99,92.32
20231116,14,18,0.95,90.19,99.23
20231116,15,7,4.21,91.63,93.83
20231117,1,7,0.6,99.75,93.37
20231117,2,18,4.11,98.72,99.2
20231117,3,17,3.83,95.29,93.41
20231117,4,10,3.64,97.63,92.18
20231117,5,10,2.53,95.56,95.15
20231117,6,6,1.09,97.53,92.61
20231117,7,17,1.85,91.83,95.86
20231117,8,18,2.33,96.8,92.2
20231117,9,7,2.18,90.07,96.83
20231117,10,14,0.59,95.37,92.41
20231117,11,13,3.8,92.41,94.36
20231117,12,11,0.74,96.95,90.5
20231117,13,11,0.99,93.3,91.7
20231117,14,13,3.11,95.95,92.5
20231117,15,5,5.0,93.88,93.22
20231118,1,6,0.19,96.38,96.06
20231118,2,15,3.16,93.48,93.75
20231118,3,6,0.54,90.27,90.26
20231118,4,5,2.25,91.86,91.53
20231118,5,6,3.19,93.76,98.52
20231118,6,15,2.34,91.25,95.46
20231118,7,14,1.38,99.61,93.31
20231118,8,11,4.33,98.94,96.87
20231118,9,6,1.33,98.07,93.24
20231118,10,15,2.45,93.12,97.21
20231118,11,5,3.39,92.24,90.23
20231118,12,6,1.77,98.88,95.21
20231118,13,14,2.89,90.19,98.22
20231118,14,5,3.01,92.16,93.89
20231118,15,15,1.61,90.51,99.17
20231119,1,6,1.73,90.18,93.26
20231119,2,8,0.31,96.75,94.45
20231119,3,18,2.18,91.46,98.42
20231119,4,14,1.95,95.2,99.67
20231119,5,12,1.15,97.77,90.13
20231119,6,16,3.34,91.81,90.94
20231119,7,19,0.64,94.25,94.82
20231119,8,13,0.35,93.82,94.31
20231119,9,13,2.19,96.14,92.11
20231119,10,16,3.83,90.76,91.19
20231119,11,9,3.48,91.01,96.3
20231119,12,13,0.98,90.88,90.29
20231119,13,8,3.87,92.84,90.5
20231119,14,19,2.71,94.54,91.09
20231119,15,19,2.67,91.8,95.21
20231120,1,12,1.78,93.44,95.14
20231120,2,18,4.77,93.92,99.3
20231120,3,6,1.56,91.77,94.79
20231120,4,13,3.98,97.98,98.37
20231120,5,15,4.88,92.12,91.51
20231120,6,19,1.87,95.03,99.5
20231120,7,17,3.16,91.24,95.48
20231120,8,9,0.11,92.04,96.22
20231120,9,15,3.67,95.76,94.68
20231120,10,7,3.67,96.18,95.99
20231120,11,8,1.61,92.17,96.47
20231120,12,11,2.17,97.45,97.63
20231120,13,18,2.81,91.94,94.0
20231120,14,17,4.76,95.82,96.43
20231120,15,7,0.95,97.08,95.03
20231121,1,16,4.12,94.85,90.91
20231121,2,17,2.11,90.6,91.91
20231121,3,16,3.42,92.49,99.06
20231121,4,12,3.43,93.65,96.88
20231121,5,7,0.94,93.92,90.18
20231121,6,12,1.92,93.63,92.1
20231121,7,14,4.64,95.75,95.51
20231121,8,18,4.49,98.14,92.53
20231121,9,7,1.08,96.93,98.16
20231121,10,9,3.68,97.65,96.4
20231121,11,16,4.19,96.01,90.02
20231121,12,7,0.11,99.5,96.74
20231121,13,6,3.88,94.91,98.61
20231121,14,15,1.61,95.57,92.48
20231121,15,19,0.81,96.24,98.64
20231122,1,10,0.34,96.62,91.38
20231122,2,7,4.92,97.6,93.76
20231122,3,6,1.03,93.24,90.15
20231122,4,7,1.63,98.37,91.77
