DateID,Date,Day,Month,Year,Quarter
20231207,07-12-2023,7,12,2023,4
20231208,08-12-2023,8,12,2023,4
20231209,09-12-2023,9,12,2023,4
20231210,10-12-2023,10,12,2023,4
20231211,11-12-2023,11,12,2023,4
20231212,12-12-2023,12,12,2023,4
20231213,13-12-2023,13,12,2023,4
20231214,14-12-2023,14,12,2023,4
20231215,15-12-2023,15,12,2023,4
20231216,16-12-2023,16,12,2023,4
20231217,17-12-2023,17,12,2023,4
20231218,18-12-2023,18,12,2023,4
20231219,19-12-2023,19,12,2023,4
20231220,20-12-2023,20,12,2023,4
20231221,21-12-2023,21,12,2023,4
20231222,22-12-2023,22,12,2023,4
20231223,23-12-2023,23,12,2023,4
20231224,24-12-2023,24,12,2023,4
20231225,25-12-2023,25,12,2023,4
20231226,26-12-2023,26,12,2023,4
20231227,27-12-2023,27,12,2023,4
20231228,28-12-2023,28,12,2023,4
20231229,29-12-2023,29,12,2023,4
20231230,30-12-2023,30,12,2023,4
20231231,31-12-2023,31,12,2023,4
20240101,01-01-2024,1,1,2024,1
20240102,02-01-2024,2,1,2024,1
20240103,03-01-2024,3,1,2024,1
20240104,04-01-2024,4,1,2024,1
20240105,05-01-2024,5,1,2024,1
20240106,06-01-2024,6,1,2024,1
20240107,07-01-2024,7,1,2024,1
20240108,08-01-2024,8,1,2024,1
20240109,09-01-2024,9,1,2024,1
20240110,10-01-2024,10,1,2024,1
20240111,11-01-2024,11,1,2024,1
20240112,12-01-2024,12,1,2024,1
20240113,13-01-2024,13,1,2024,1
20240114,14-01-2024,14,1,2024,1
20240115,15-01-2024,15,1,2024,1
20240116,16-01-2024,16,1,2024,1
20240117,17-01-2024,17,1,2024,1
20240118,18-01-2024,18,1,2024,1
20240119,19-01-2024,19,1,2024,1
20240120,20-01-2024,20,1,2024,1
20240121,21-01-2024,21,1,2024,1
20240122,22-01-2024,22,1,2024,1
20240123,23-01-2024,23,1,2024,1
20240124,24-01-2024,24,1,2024,1
20240125,25-01-2024,25,1,2024,1
20240126,26-01-2024,26,1,2024,1
20240127,27-01-2024,27,1,2024,1
20240128,28-01-2024,28,1,2024,1
20240129,29-01-2024,29,1,2024,1
20240130,30-01-2024,30,1,2024,1
20240131,31-01-2024,31,1,2024,1
20240201,01-02-2024,1,2,2024,1
20240202,02-02-2024,2,2,2024,1
20240203,03-02-2024,3,2,2024,1
20240204,04-02-2024,4,2,2024,1
20240205,05-02-2024,5,2,2024,1
20240206,06-02-2024,6,2,2024,1
20240207,07-02-2024,7,2,2024,1
20240208,08-02-2024,8,2,2024,1
20240209,09-02-2024,9,2,2024,1
20240210,10-02-2024,10,2,2024,1
20240211,11-02-2024,11,2,2024,1
20240212,12-02-2024,12,2,2024,1
20240213,13-02-2024,13,2,2024,1
20240214,14-02-2024,14,2,2024,1
20240215,15-02-2024,15,2,2024,1
20240216,16-02-2024,16,2,2024,1
20240217,17-02-2024,17,2,2024,1
20240218,18-02-2024,18,2,2024,1
20240219,19-02-2024,19,2,2024,1
20240220,20-02-2024,20,2,2024,1
20240221,21-02-2024,21,2,2024,1
20240222,22-02-2024,22,2,2024,1
20240223,23-02-2024,23,2,2024,1
20240224,24-02-2024,24,2,2024,1
20240225,25-02-2024,25,2,2024,1
20240226,26-02-2024,26,2,2024,1
20240227,27-02-2024,27,2,2024,1
20240228,28-02-2024,28,2,2024,1
20240229,29-02-2024,29,2,2024,1
20240301,01-03-2024,1,3,2024,1
20240302,02-03-2024,2,3,2024,1
20240303,03-03-2024,3,3,2024,1
20240304,04-03-2024,4,3,2024,1
20240305,05-03-2024,5,3,2024,1
20240306,06-03-2024,6,3,2024,1
20240307,07-03-2024,7,3,2024,1
20240308,08-03-2024,8,3,2024,1
20240309,09-03-2024,9,3,2024,1
20240310,10-03-2024,10,3,2024,1
20240311,11-03-2024,11,3,2024,1
20240312,12-03-2024,12,3,2024,1
20240313,13-03-2024,13,3,2024,1
20240314,14-03-2024,14,3,2024,1
20240315,15-03-2024,15,3,2024,1
20240316,16-03-2024,16,3,2024,1
20240317,17-03-2024,17,3,2024,1
20240318,18-03-2024,18,3,2024,1
20240319,19-03-2024,19,3,2024,1
20240320,20-03-2024,20,3,2024,1
20240321,21-03-2024,21,3,2024,1
20240322,22-03-2024,22,3,2024,1
20240323,23-03-2024,23,3,2024,1
20240324,24-03-2024,24,3,2024,1
20240325,25-03-2024,25,3,2024,1
20240326,26-03-2024,26,3,2024,1
20240327,27-03-2024,27,3,2024,1
20240328,28-03-2024,28,3,2024,1
20240329,29-03-2024,29,3,2024,1
20240330,30-03-2024,30,3,2024,1
20240331,31-03-2024,31,3,2024,1
20240401,01-04-2024,1,4,2024,2
20240402,02-04-2024,2,4,2024,2
20240403,03-04-2024,3,4,2024,2
20240404,04-04-2024,4,4,2024,2
20240405,05-04-2024,5,4,2024,2
20240406,06-04-2024,6,4,2024,2
20240407,07-04-2024,7,4,2024,2
20240408,08-04-2024,8,4,2024,2
20240409,09-04-2024,9,4,2024,2
20240410,10-04-2024,10,4,2024,2
20240411,11-04-2024,11,4,2024,2
20240412,12-04-2024,12,4,2024,2
20240413,13-04-2024,13,4,2024,2
20240414,14-04-2024,14,4,2024,2
20240415,15-04-2024,15,4,2024,2
20240416,16-04-2024,16,4,2024,2
20240417,17-04-2024,17,4,2024,2
20240418,18-04-2024,18,4,2024,2
20240419,19-04-2024,19,4,2024,2
20240420,20-04-2024,20,4,2024,2
20240421,21-04-2024,21,4,2024,2
20240422,22-04-2024,22,4,2024,2
20240423,23-04-2024,23,4,2024,2
20240424,24-04-2024,24,4,2024,2
20240425,25-04-2024,25,4,2024,2
20240426,26-04-2024,26,4,2024,2
20240427,27-04-2024,27,4,2024,2
20240428,28-04-2024,28,4,2024,2
20240429,29-04-2024,29,4,2024,2
20240430,30-04-2024,30,4,2024,2
20240501,01-05-2024,1,5,2024,2
20240502,02-05-2024,2,5,2024,2
20240503,03-05-2024,3,5,2024,2
20240504,04-05-2024,4,5,2024,2
20240505,05-05-2024,5,5,2024,2
20240506,06-05-2024,6,5,2024,2
20240507,07-05-2024,7,5,2024,2
20240508,08-05-2024,8,5,2024,2
20240509,09-05-2024,9,5,2024,2
20240510,10-05-2024,10,5,2024,2
20240511,11-05-2024,11,5,2024,2
20240512,12-05-2024,12,5,2024,2
20240513,13-05-2024,13,5,2024,2
20240514,14-05-2024,14,5,2024,2
20240515,15-05-2024,15,5,2024,2
20240516,16-05-2024,16,5,2024,2
20240517,17-05-2024,17,5,2024,2
20240518,18-05-2024,18,5,2024,2
20240519,19-05-2024,19,5,2024,2
20240520,20-05-2024,20,5,2024,2
20240521,21-05-2024,21,5,2024,2
20240522,22-05-2024,22,5,2024,2
20240523,23-05-2024,23,5,2024,2
20240524,24-05-2024,24,5,2024,2
20240525,25-05-2024,25,5,2024,2
20240526,26-05-2024,26,5,2024,2
20240527,27-05-2024,27,5,2024,2
20240528,28-05-2024,28,5,2024,2
20240529,29-05-2024,29,5,2024,2
20240530,30-05-2024,30,5,2024,2
20240531,31-05-2024,31,5,2024,2
20240601,01-06-2024,1,6,2024,2
20240602,02-06-2024,2,6,2024,2
20240603,03-06-2024,3,6,2024,2
20240604,04-06-2024,4,6,2024,2
20240605,05-06-2024,5,6,2024,2
20240606,06-06-2024,6,6,2024,2
20240607,07-06-2024,7,6,2024,2
20240608,08-06-2024,8,6,2024,2
20240609,09-06-2024,9,6,2024,2
20240610,10-06-2024,10,6,2024,2
20240611,11-06-2024,11,6,2024,2
20240612,12-06-2024,12,6,2024,2
20240613,13-06-2024,13,6,2024,2
20240614,14-06-2024,14,6,2024,2
20240615,15-06-2024,15,6,2024,2
20240616,16-06-2024,16,6,2024,2
20240617,17-06-2024,17,6,2024,2
20240618,18-06-2024,18,6,2024,2
20240619,19-06-2024,19,6,2024,2
20240620,20-06-2024,20,6,2024,2
20240621,21-06-2024,21,6,2024,2
20240622,22-06-2024,22,6,2024,2
20240623,23-06-2024,23,6,2024,2
20240624,24-06-2024,24,6,2024,2
20240625,25-06-2024,25,6,2024,2
20240626,26-06-2024,26,6,2024,2
20240627,27-06-2024,27,6,2024,2
20240628,28-06-2024,28,6,2024,2
20240629,29-06-2024,29,6,2024,2
20240630,30-06-2024,30,6,2024,2
20240701,01-07-2024,1,7,2024,3
20240702,02-07-2024,2,7,2024,3
20240703,03-07-2024,3,7,2024,3
20240704,04-07-2024,4,7,2024,3
20240705,05-07-2024,5,7,2024,3
20240706,06-07-2024,6,7,2024,3
20240707,07-07-2024,7,7,2024,3
20240708,08-07-2024,8,7,2024,3
20240709,09-07-2024,9,7,2024,3
20240710,10-07-2024,10,7,2024,3
20240711,11-07-2024,11,7,2024,3
20240712,12-07-2024,12,7,2024,3
20240713,13-07-2024,13,7,2024,3
20240714,14-07-2024,14,7,2024,3
20240715,15-07-2024,15,7,2024,3
20240716,16-07-2024,16,7,2024,3
20240717,17-07-2024,17,7,2024,3
20240718,18-07-2024,18,7,2024,3
20240719,19-07-2024,19,7,2024,3
20240720,20-07-2024,20,7,2024,3
20240721,21-07-2024,21,7,2024,3
20240722,22-07-2024,22,7,2024,3
20240723,23-07-2024,23,7,2024,3
20240724,24-07-2024,24,7,2024,3
20240725,25-07-2024,25,7,2024,3
20240726,26-07-2024,26,7,2024,3
20240727,27-07-2024,27,7,2024,3
20240728,28-07-2024,28,7,2024,3
20240729,29-07-2024,29,7,2024,3
20240730,30-07-2024,30,7,2024,3
20240731,31-07-2024,31,7,2024,3
20240801,01-08-2024,1,8,2024,3
20240802,02-08-2024,2,8,2024,3
20240803,03-08-2024,3,8,2024,3
20240804,04-08-2024,4,8,2024,3
20240805,05-08-2024,5,8,2024,3
20240806,06-08-2024,6,8,2024,3
20240807,07-08-2024,7,8,2024,3
20240808,08-08-2024,8,8,2024,3
20240809,09-08-2024,9,8,2024,3
20240810,10-08-2024,10,8,2024,3
20240811,11-08-2024,11,8,2024,3
20240812,12-08-2024,12,8,2024,3
20240813,13-08-2024,13,8,2024,3
20240814,14-08-2024,14,8,2024,3
20240815,15-08-2024,15,8,2024,3
20240816,16-08-2024,16,8,2024,3
20240817,17-08-2024,17,8,2024,3
20240818,18-08-2024,18,8,2024,3
20240819,19-08-2024,19,8,2024,3
20240820,20-08-2024,20,8,2024,3
20240821,21-08-2024,21,8,2024,3
20240822,22-08-2024,22,8,2024,3
20240823,23-08-2024,23,8,2024,3
20240824,24-08-2024,24,8,2024,3
20240825,25-08-2024,25,8,2024,3
20240826,26-08-2024,26,8,2024,3
20240827,27-08-2024,27,8,2024,3
20240828,28-08-2024,28,8,2024,3
20240829,29-08-2024,29,8,2024,3
20240830,30-08-2024,30,8,2024,3
20240831,31-08-2024,31,8,2024,3
20240901,01-09-2024,1,9,2024,3
20240902,02-09-2024,2,9,2024,3
20240903,03-09-2024,3,9,2024,3
20240904,04-09-2024,4,9,2024,3
20240905,05-09-2024,5,9,2024,3
20240906,06-09-2024,6,9,2024,3
20240907,07-09-2024,7,9,2024,3
20240908,08-09-2024,8,9,2024,3
20240909,09-09-2024,9,9,2024,3
20240910,10-09-2024,10,9,2024,3
20240911,11-09-2024,11,9,2024,3
20240912,12-09-2024,12,9,2024,3
20240913,13-09-2024,13,9,2024,3
20240914,14-09-2024,14,9,2024,3
20240915,15-09-2024,15,9,2024,3
20240916,16-09-2024,16,9,2024,3
20240917,17-09-2024,17,9,2024,3
20240918,18-09-2024,18,9,2024,3
20240919,19-09-2024,19,9,2024,3
20240920,20-09-2024,20,9,2024,3
20240921,21-09-2024,21,9,2024,3
20240922,22-09-2024,22,9,2024,3
20240923,23-09-2024,23,9,2024,3
20240924,24-09-2024,24,9,2024,3
20240925,25-09-2024,25,9,2024,3
20240926,26-09-2024,26,9,2024,3
20240927,27-09-2024,27,9,2024,3
20240928,28-09-2024,28,9,2024,3
20240929,29-09-2024,29,9,2024,3
20240930,30-09-2024,30,9,2024,3
20241001,01-10-2024,1,10,2024,4
20241002,02-10-2024,2,10,2024,4
20241003,03-10-2024,3,10,2024,4
20241004,04-10-2024,4,10,2024,4
20241005,05-10-2024,5,10,2024,4
20241006,06-10-2024,6,10,2024,4
